DATE,SP500_PCH
42874,0.67675
42877,0.51601
42878,0.18379
42879,0.24891
42880,0.44419
42881,0.03106
42886,-0.046
42887,0.75711
42888,0.37077
42891,-0.12177
42892,-0.2779
42893,0.15683
42894,0.02671
42895,-0.083
42898,-0.09787
42899,0.45114
42900,-0.09958
42901,-0.22396
42902,0.02837
42905,0.83472
42906,-0.66967
42907,-0.05827
42908,-0.04557
42909,0.15609
42912,0.03158
42913,-0.80727
42914,0.8808
42915,-0.86
42916,0.15332
42919,0.23108
42922,-0.93688
42923,0.64032
42926,0.09278
42927,-0.07827
42928,0.73056
42929,0.18746
42930,0.46735
42933,-0.00529
42934,0.05978
42935,0.53727
42936,-0.01536
42937,-0.03679
42940,-0.10637
42941,0.29232
42942,0.02826
42943,-0.09726
42944,-0.13412
42947,-0.07281
42948,0.24491
42949,0.04927
42950,-0.21836
42951,0.1889
42954,0.16473
42955,-0.24144
42956,-0.03636
42957,-1.44744
42958,0.12755
42961,1.00437
42962,-0.04988
42963,0.14201
42964,-1.54369
42965,-0.18354
42968,0.11626
42969,0.99408
42970,-0.34536
42971,-0.20744
42972,0.16728
42975,0.04871
42976,0.08428
42977,0.46151
42978,0.57211
42979,0.19825
42984,0.31288
42985,-0.01785
42986,-0.14888
42989,1.08392
42990,0.3364
42991,0.07571
42992,-0.11007
42993,0.18472
42996,0.14559
42997,0.11103
42998,0.06343
42999,-0.3046
43000,0.06478
43003,-0.2222
43004,0.00721
43005,0.40852
43006,0.12046
43007,0.37051
43010,0.3874
43011,0.21589
43012,0.12468
43013,0.56468
43014,-0.10736
43017,-0.18044
43018,0.23224
43019,0.18035
43020,-0.16867
43021,0.08781
43024,0.17508
43025,0.06725
43026,0.07424
43027,0.0328
43028,0.51169
43031,-0.39725
43032,0.16179
43033,-0.46631
43034,0.12709
43035,0.8073
43038,-0.31925
43039,0.09445
43040,0.15921
43041,0.019
43042,0.30971
43045,0.12713
43046,-0.01891
43047,0.14437
43048,-0.3762
43049,-0.08976
43052,0.09836
43053,-0.23096
43054,-0.55257
43055,0.81961
43056,-0.2626
43059,0.12758
43060,0.65411
43061,-0.07503
43066,-0.03843
43067,0.98485
43068,-0.03692
43069,0.81909
43070,-0.20245
43073,-0.10521
43074,-0.37394
43075,-0.01141
43076,0.29324
43077,0.55063
43080,0.3202
43081,0.15489
43082,-0.0473
43083,-0.40708
43084,0.89743
43087,0.53629
43088,-0.32303
43089,-0.08279
43090,0.19856
43091,-0.04582
43096,0.07909
43097,0.1834
43098,-0.51832
43103,0.63988
43104,0.40287
43105,0.70338
43108,0.16623
43109,0.13029
43110,-0.11122
43111,0.70336
43112,0.67496
43117,0.9415
43118,-0.16164
43119,0.43852
43122,0.80668
43123,0.21744
43124,-0.056
43125,0.06026
43126,1.18412
43129,-0.67319
43130,-1.08988
43131,0.04889
43132,-0.06481
43133,-2.12085
43136,-4.09792
43137,1.74409
43138,-0.50016
43139,-3.75365
43140,1.49361
43143,1.39146
43144,0.2613
43145,1.34025
43146,1.20691
43147,0.03735
43152,-0.54965
43153,0.09736
43154,1.60283
43157,1.1757
43158,-1.27069
43159,-1.10958
43160,-1.33243
43161,0.50716
43164,1.1032
43165,0.26388
43166,-0.04838
43167,0.44631
43168,1.73788
43171,-0.1274
43172,-0.63636
43173,-0.57245
43174,-0.0782
43175,0.17035
43178,-1.42042
43179,0.14818
43180,-0.1844
43181,-2.51629
43182,-2.09669
43185,2.71572
43186,-1.72763
43187,-0.29166
43188,1.37697
43193,1.26148
43194,1.15665
43195,0.68628
43196,-2.19202
43199,0.33366
43200,1.67269
43201,-0.55253
43202,0.82507
43203,-0.28866
43206,0.8109
43207,1.06616
43208,0.08314
43209,-0.57261
43210,-0.85365
43213,0.00562
43214,-1.33806
